  id   |     name      |           permisoemb           | estado 
  6549 | TLLU-691037-0 | 25001EC01046394N               |    400
  6577 | TLLU-809374-7 | 25001EC03007621F               |    300
  6566 | MEDU-537173-2 | 25001EC01047770M               |    300
  6581 | MRSU-770392-7 | 25001EC01046993S               |    300
  6578 | ZCSU-709805-4 | 25001EC01048116H               |    300
  6545 | GCXU-565762-3 | 25001EC01045235G               |    300
  6553 | SELU-402153-2 | 25001EC01045235G               |    300
  6546 | SUDU-864870-3 | 25001EC01045235G               |    300
  6591 | UETU-668568-1 | 25001EC01047986V               |    300
  6580 | HAMU-255877-9 | 25001EC01048468R               |    300
  6529 | CMAU-027492-1 | 25001EC01046664N               |    300
  6527 | CMAU-145847-7 | 25001EC01046664N               |    300
  6584 | HLBU-307150-6 | 25001EC03007731H               |    300
  6582 | HLBU-364877-4 | 25001EC03007731H               |    300
  6583 | FANU-501641-2 | 25001EC03007731H               |    300
  6585 | HLXU-116561-9 | 25001EC03007731H               |    300
  6579 | BMOU-307956-7 | 25001EC03007718M               |    300
  6573 | MRKU-479010-2 | 25001EC01047907Y               |    300
  6572 | CAAU-701519-3 | 25001EC01047907Y               |    300
  6574 | MRSU-477621-5 | 25001EC01047907Y               |    300
  6575 | MRSU-779315-5 | 25001EC01047907Y               |    300
  6534 | JXLU-633516-7 | 25001EC01047785S               |    300
  6635 | FTAU-135044-6 | 25001EC01049411G               |    300
  6634 | TGCU-212376-5 | 25001EC01049411G               |    300
  7478 | TLLU-445350-5 | 25001EC01064034E               |    300
  6589 | PCIU-022594-3 | 25001EC01047191J               |    300
  6592 | MSKU-546211-5 | 25001EC01048820J               |    300
  6613 | TCNU-661296-6 | 25001EC01048753Y               |    300
  6611 | TEMU-684479-2 | 25001EC01048753Y               |    300
  6602 | MSBU-152903-3 | 25001EC01047764P               |      0
  6597 | MEDU-614092-8 | 25001EC01048488T               |    300
  6598 | HPCU-253999-6 | 25001EC01048488T               |    300
  6608 | GESU-103742-0 | 25001EC03007660X               |    300
  6607 | FTAU-146095-2 | 25001EC03007660X               |    300
  6606 | FSCU-784572-9 | 25001EC03007660X               |    300
  6599 | MRKU-022250-5 | 25001PE01000273M               |    300
  5997 | MSMU-681586-1 | 25001EC01034208E               |    300
  6594 | HLBU-205699-7 | 25001EC01048951Y               |    300
  6595 | HAMU-336067-0 | 25001EC01048951Y               |    300
  6596 | HLXU-100237-6 | 25001EC01047936Z               |    300
  6593 | TEMU-223300-7 | 25001EC01048820J               |    300
  6601 | PCIU-463884-2 | 25001EC03007858R               |    300
  6600 | BMOU-308047-0 | 25001EC03007858R               |    300
  6620 | HLBU-272529-0 | 25001EC01048670M               |    300
  6621 | HAMU-186895-4 | 25001EC01049279S               |    300
  6627 | GATU-131170-5 | 25001EC01048798A               |    300
  6624 | MSKU-048838-0 | 25001EC01046535K               |    300
  6625 | MVIU-003346-3 | 25001EC01046535K               |    300
  6623 | TEMU-725566-8 | 25001EC01046535K               |    300
  6622 | TGBU-524810-3 | 25001EC01046535K               |    300
  6626 | HASU-458655-5 | 25001EC01046535K               |    300
  6619 | BMOU-143283-9 | 25001EC01048670M               |    300
  6609 | HLBU-273571-9 | 25001PE01000267P               |    300
  6612 | FCIU-743582-8 | 25001EC01049023F               |    300
  6614 | FANU-193909-4 | 25001EC01049023F               |    300
  6610 | TCKU-770329-0 | 25001EC01049080X               |    300
  6603 | TGHU-656382-1 | 25001EC01044480H               |    300
  6605 | MRSU-740680-5 | 25001EC01044480H               |    300
  6604 | MRKU-551494-2 | 25001EC01044480H               |    300
  6629 | BMOU-662867-6 | 25001EC01049006G               |    300
  6633 | CMAU-949232-8 | 25001EC01049382N               |    300
  6632 | CMAU-743799-6 | 25001EC01049382N               |    300
  6631 | TGHU-979954-9 | 25001EC01049382N               |    300
  6618 | HLXU-842720-1 | 25001EC03007754M               |    300
  6617 | TGBU-568016-4 | 25001EC03007754M               |    300
  6616 | FANU-144581-0 | 25001EC03007754M               |    300
  6615 | FANU-300725-8 | 25001EC03007754M               |    300
  7479 | ZCSU-729801-0 | 25001EC01064034E               |    300
  6659 | EGSU-377648-4 | 25001EC01049794U               |    200
  6655 | FFAU-559201-3 | 25001EC01049238N               |    300
  6675 | SEGU-498768-0 | 25001EC01050127C               |    300
  6630 | MSDU-400532-0 | 25001EC01049557R               |    300
  6674 | TCLU-654257-9 | 25001EC01050127C               |    300
  6665 | FFAU-417578-2 | 25001EC01049470L               |    300
  6576 | HAMU-144154-0 | 25001EC01047393N               |    300
  6654 | CAAU-897803-2 | 25001EC01049238N               |    300
  6666 | TRHU-867940-6 | 25001EC01049470L               |    400
  6652 | MRSU-506518-7 | 25001EC01049238N               |    300
  6651 | TCKU-694302-3 | 25001EC01049238N               |    300
  6645 | TRHU-705470-7 | 25001EC03007952M               |    300
  6644 | KKFU-759895-2 | 25001EC03007952M               |    300
  6657 | UACU-546198-0 | 25001EC01049529Z               |    300
  6628 | UETU-689832-6 | 25001EC01049006G               |    300
  6685 | TEMU-140336-7 | 25001EC01051040U               |    200
  6663 | EGSU-213793-5 | 25001EC01049794U               |    200
  6662 | EISU-235053-8 | 25001EC01049794U               |    200
  6649 | MSDU-153947-1 | 25001EC01049630J               |    200
  6664 | EGSU-210856-2 | 25001EC01049794U               |    200
  6670 | TXGU-774337-2 | 25001EC03008051D               |    300
  6668 | TXGU-776749-8 | 25001EC03008051D               |    300
  6667 | TGBU-658064-2 | 25001EC03008051D               |    300
  6672 | EISU-822962-6 | 25001EC03008051D               |    300
  6656 | TEMU-126854-4 | 25001PE01000292N               |    300
  6673 | TEMU-177797-9 | 25001PE01000289T               |    300
  6642 | FCIU-748072-4 | 25001EC01049950Y               |    300
  6640 | HAMU-415951-0 | 25001EC01049950Y               |    300
  6641 | HAMU-418977-2 | 25001EC01049950Y               |    300
  6639 | GESU-611096-7 | 25001EC01049950Y               |    300
  6643 | TEMU-762966-5 | 25001EC01049695U               |    300
  6669 | MRKU-954165-3 | 25001PE01000287R               |      0
  6646 | FCIU-628594-0 | 25001ES41000028R               |    300
  6647 | UETU-244360-6 | 25001ES41000033N               |    300
  6650 | UACU-855660-5 | 25001PE01000284Y               |    300
  6658 | MAGU-245244-7 | 25001EC03050482G               |    200
  6661 | EGSU-351602-3 | 25001EC01049794U               |    200
  6638 | MSDU-240917-4 | 25001EC01049411G               |    300
  6660 | EGSU-368739-2 | 25001EC01049794U               |    200
  6637 | MEDU-551277-0 | 25001EC01049411G               |    300
  6636 | TEMU-376450-1 | 25001EC01049411G               |    300
