fecha,contenedor,estado,cliente,alerta_enviada
2024-09-05,TCLU-322258-7,Arribado hh:mm,Sin Datos,1.0
2024-09-05,TCLU-762622-6,Arribado hh:mm,Sin Datos,1.0
2024-09-05,MSMU-337419-2,Arribado 19:11,Sin Datos,1.0
2024-09-06,FANU-353419-8,Arribado 15:05,Sin Datos,1.0
2024-09-06,TLLU-530714-6,Arribado 15:05,Sin Datos,1.0
2024-09-06,SEGU-509474-2,Arribado 15:05,Sin Datos,1.0
2024-09-06,UACU-600174-2,Arribado 15:05,Sin Datos,1.0
2024-09-06,CLHU-478549-1,Arribado 15:40,Sin Datos,1.0
2024-09-09,MSMU-557586-9,Arribado 14:35,Sin Datos,1.0
2024-09-09,MSKU-649417-0,Arribado 14:35,Sin Datos,1.0
2024-09-09,HLBU-113394-9,Arribado 14:40,Sin Datos,1.0
2024-09-09,HLBU-228267-5,Arribado 14:40,Sin Datos,1.0
2024-09-09,MSNU-311243-1,Arribado 14:40,Sin Datos,1.0
2024-09-10,TGHU-191475-4,Arribado 15:10,Sin Datos,1.0
2024-09-11,HASU-112185-2,Arribado 10:40,Sin Datos,1.0
2024-09-11,TGHU-691466-0,Arribado 12:30,Sin Datos,1.0
2024-09-11,MRKU-990275-6,Arribado 16:25,Sin Datos,1.0
2024-09-11,MSKU-993040-4,Arribado 16:25,Sin Datos,1.0
2024-09-12,EITU-180147-7,Arribado 15:20,Sin Datos,1.0
2024-09-16,ECMU-434461-3,15:05 Arribado,Sin Datos,1.0
2024-09-16,MRSU-100017-2,15:05 Arribado,Sin Datos,1.0
2024-09-16,EITU-903387-9,15:10 Arribado,Sin Datos,1.0
2024-09-16,MRKU-564566-5,15:10 Arribado,Sin Datos,1.0
2024-09-16,MRSU-437175-2,15:10 Arribado,Sin Datos,1.0
2024-09-16,MRKU-468302-2,15:10 Arribado,Sin Datos,1.0
2024-09-17,ONEU-122313-4,11:45 Arribado,Sin Datos,1.0
2024-09-17,ONEU-570219-8,11:45 Arribado,Sin Datos,1.0
2024-09-17,ONEU-571197-0,11:45 Arribado,Sin Datos,1.0
2024-09-17,ONEU-571816-8,11:45 Arribado,Sin Datos,1.0
2024-09-17,TRHU-518322-2,11:45 Arribado,Sin Datos,1.0
2024-09-17,HLBU-236891-1,15:40 Arribado,Sin Datos,1.0
2024-09-17,SUDU-692672-3,15:40 Arribado,Sin Datos,1.0
2024-09-18,TEMU-294612-1,14:25 Arribado,Sin Datos,1.0
2024-09-18,TRHU-287246-5,14:30 Arribado,Sin Datos,1.0
2024-09-18,EMCU-852483-0,15:30 Arribado,Sin Datos,1.0
2024-09-18,HLBU-109842-6,18:20 Arribado,Sin Datos,1.0
2024-09-18,ONEU-090399-1,18:20 Arribado,Sin Datos,1.0
2024-09-18,ONEU-570305-0,18:20 Arribado,Sin Datos,1.0
2024-09-18,ONEU-571194-4,18:20 Arribado,Sin Datos,1.0
2024-09-18,ONEU-571196-5,18:20 Arribado,Sin Datos,1.0
2024-09-19,TEMU-558931-0,12:30 Arribado,Sin Datos,1.0
2024-09-19,CLHU-844928-4,13:50 Arribado,Sin Datos,1.0
2024-09-19,DFSU-658588-0,13:50 Arribado,Sin Datos,1.0
