id,Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally,fecha_registro,key,chofer,Fecha y Hora Fin,Observaciones trafico,Transporte
876.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:05:40.570575,nan_BUE500197300,,,,
877.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:05:40.685535,nan_BUE500197300,,,,
878.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:20:43.182978,nan_BUE500197300,,,,
879.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:20:43.289627,nan_BUE500197300,,,,
880.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:35:47.363815,nan_BUE500197300,,,,
881.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:35:47.487128,nan_BUE500197300,,,,
882.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:50:40.260119,nan_BUE500197300,,,,
883.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T02:50:40.425154,nan_BUE500197300,,,,
884.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:05:39.535649,nan_BUE500197300,,,,
885.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:05:39.642398,nan_BUE500197300,,,,
886.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:20:40.558315,nan_BUE500197300,,,,
887.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:20:40.659986,nan_BUE500197300,,,,
888.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:35:39.121155,nan_BUE500197300,,,,
889.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:35:39.223916,nan_BUE500197300,,,,
890.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T03:50:40.485456,nan_BUE500197300,,,,
900.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T05:06:28.268374,nan_BUE500197300,,,,
901.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T05:06:28.359997,nan_BUE500197300,,,,
902.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T05:20:40.129031,nan_BUE500197300,,,,
903.0,09/12,Henn Y Cia S.R.L.,39584-0-1,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T05:20:40.226119,nan_BUE500197300,,,,
904.0,09/12,Henn Y Cia S.R.L.,39584-0-2,BUE500197300,nan,30.0,                    ,TRP 17HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6052,2025-12-06T05:35:37.729893,nan_BUE500197300,,,,
