Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,18:33 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,18:46 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,12:22 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-3-1,CMAU-430429-0,IBC1377772C,Bultos,69.0,15.0,IA7,18:33 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Industrias Saladillo...,36518-1-1,BMOU-255036-9,TPNGBSG25046030,Bultos,8.0,1.36,ANEX-A1,15:45 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2099,http://dassa.mqbic.com/NewTallySalida.php?id=606
01/10,Industrias Saladillo...,36518-1-1,BMOU-255036-9,TPNGBSG25046030,Bultos,8.0,1.36,ANEX-A1,10:23 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2099,http://dassa.mqbic.com/NewTallySalida.php?id=606
02/10,Grupo Rsm Srl,38455-1-1,MRKU-039332-3,HBOL4250,Bultos,1.0,15.0,EA9,Pendiente,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2654,
02/10,Mercovan Argentina S...,38370-1-2,FANU-136696-3,MVANLT20250708,Bultos,1.0,19.0,ANEX-A1,09:57 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2627,http://dassa.mqbic.com/NewTallySalida.php?id=757
02/10,Juguetech Sa,38547-0-1,MEDU-891867-5,SZXS067814,Contenedor,1.0,0.0,PLZA,11:45 Realizado,8:30 ,-,-
02/10,Southcross Logistics...,37965-1-1,MRKU-000630-0,GGLFE25070021,Bultos,317.0,17.55,NV1,09:57 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2426,http://dassa.mqbic.com/NewTallySalida.php?id=756
02/10,Eagle Service Group ...,38337-3-1,UACU-831356-5,BRL252848C,Bultos,1.0,3.0,PA-B,12:55 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Eagle Service Group ...,38337-3-1,UACU-831356-5,BRL252848C,Bultos,1.0,3.0,PA-B,15:43 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Eagle Service Group ...,38337-2-1,UACU-831356-5,BRL252848B,Bultos,1.0,11.0,PA-A,12:55 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Eagle Service Group ...,38337-2-1,UACU-831356-5,BRL252848B,Bultos,1.0,11.0,PA-A,15:43 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Eagle Service Group ...,38337-1-1,UACU-831356-5,BRL252848A,Bultos,19.0,20.0,NAVE2,12:55 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Eagle Service Group ...,38337-1-1,UACU-831356-5,BRL252848A,Bultos,19.0,20.0,NAVE2,15:43 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2607,http://dassa.mqbic.com/NewTallySalida.php?id=762
02/10,Lartex Srl,38322-0-2,MRSU-559911-4,SHAX25070014,Contenedor,1.0,0.0,PLZA,15:43 Realizado,9:00 ,-,-
02/10,Lartex Srl,38322-0-1,MRSU-543828-0,SHAX25070014,Contenedor,1.0,0.0,PLZA,15:43 Realizado,9:00 ,-,-
02/10,Grupo Rsm Srl,38525-2-1,TCLU-407367-8,IBC1383284B,Bultos,199.0,40.0,IB6,Pendiente,9:30 ,http://dassa.mqbic.com/PublicTally.php?id=2687,
02/10,Mercovan Argentina S...,38281-1-1,MEDU-291435-3,MVANES17082025,Bultos,90.0,15.0,ANEX-A1,12:21 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2561,http://dassa.mqbic.com/NewTallySalida.php?id=758
02/10,Lift Van Int. Co S.A,38456-1-1,BSIU-284883-1,LIFBUE25080014,Bultos,3.0,14.0,ANEX-A1,12:21 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2658,
02/10,Grupo Rsm Srl,38525-1-1,TCLU-407367-8,IBC1383284A,Bultos,1.0,10.0,PA-A,Pendiente,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2687,
03/10,Mercovan Argentina S...,38135-1-1,ZCSU-849076-9,MVANES20250828-02,Bultos,1.0,5.0,NV1,16:45 Realizado,9:30 ,http://dassa.mqbic.com/PublicTally.php?id=2488,
